category,ambig_bias_score,ambig_accuracy,disambig_bias_score,disambig_accuracy,accuracy_cost
Physical_appearance,3.2363977485928777,15.853658536585366,9.090909090909083,29.411764705882355,-12.646793134598013
Race_x_gender,0.41951881192272267,74.96871088861077,5.474452554744524,9.55794504181601,-2.027312310331178
Religion,7.061403508771925,42.5,5.000000000000004,33.33333333333333,-7.638888888888893
Race_ethnicity,3.3846674564224077,71.70418006430869,3.0303030303030276,11.614730878186968,-0.9524791967540054
Race_x_SES,1.0192209029610144,22.743055555555554,2.1857923497267784,34.30127041742287,-1.57533223831566
Nationality,4.26829268292683,32.31707317073171,0.0,31.61764705882353,1.7874396135265656
Sexual_orientation,-8.838383838383841,20.454545454545457,0.0,24.324324324324326,-0.862068965517242
Disability_status,-14.114681789540013,18.84057971014493,-1.9607843137254943,28.04878048780488,25.252525252525256
Gender_identity,-0.4912797838368951,79.66101694915254,-9.268292682926827,5.208333333333334,5.256064690026953
Age,-9.133192389006345,44.18604651162791,-11.32075471698113,15.151515151515152,-6.746513038204972
SES,-1.3838170286373246,58.139534883720934,-15.517241379310342,14.19939577039275,2.665876777251185
